2016-09-05 09:10:19,331 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.036) SELECT engine FROM information_schema.tables WHERE table_name = 'website_devicegroup'; args=[u'website_devicegroup']
2016-09-05 09:10:19,331 [MainThread:140619823814400] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE `website_deviceregion` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL); (params None)
2016-09-05 09:10:19,382 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.051) CREATE TABLE `website_deviceregion` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL); args=None
2016-09-05 09:10:19,415 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.033) SELECT engine FROM information_schema.tables WHERE table_name = 'website_deviceregion'; args=[u'website_deviceregion']
2016-09-05 09:10:19,416 [MainThread:140619823814400] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE `website_videodirection` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL); (params None)
2016-09-05 09:10:19,463 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.047) CREATE TABLE `website_videodirection` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL); args=None
2016-09-05 09:10:19,498 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.034) SELECT engine FROM information_schema.tables WHERE table_name = 'website_videodirection'; args=[u'website_videodirection']
2016-09-05 09:10:19,498 [MainThread:140619823814400] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE `website_videotype` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(32) NOT NULL); (params None)
2016-09-05 09:10:19,553 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.055) CREATE TABLE `website_videotype` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(32) NOT NULL); args=None
2016-09-05 09:10:19,589 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.036) SELECT engine FROM information_schema.tables WHERE table_name = 'website_videotype'; args=[u'website_videotype']
2016-09-05 09:10:19,590 [MainThread:140619823814400] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE `website_devicebrand` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(32) NOT NULL); (params None)
2016-09-05 09:10:19,648 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.058) CREATE TABLE `website_devicebrand` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(32) NOT NULL); args=None
2016-09-05 09:10:19,682 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.033) SELECT engine FROM information_schema.tables WHERE table_name = 'website_devicebrand'; args=[u'website_devicebrand']
2016-09-05 09:10:19,683 [MainThread:140619823814400] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE `website_devicetype` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `brandid_id` integer NOT NULL, `name` varchar(32) NOT NULL); (params None)
2016-09-05 09:10:19,738 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.055) CREATE TABLE `website_devicetype` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `brandid_id` integer NOT NULL, `name` varchar(32) NOT NULL); args=None
2016-09-05 09:10:19,769 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.031) SELECT engine FROM information_schema.tables WHERE table_name = 'website_devicetype'; args=[u'website_devicetype']
2016-09-05 09:10:19,770 [MainThread:140619823814400] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE `website_videodevice` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `pid` varchar(32) NULL, `name` varchar(50) NOT NULL, `group_id` integer NOT NULL, `region_id` integer NULL, `vtype_id` integer NOT NULL, `ip` char(39) NOT NULL, `username` varchar(50) NULL, `password` varchar(50) NULL, `gpslon` varchar(18) NULL, `gpswei` varchar(18) NULL); (params None)
2016-09-05 09:10:19,825 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.054) CREATE TABLE `website_videodevice` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `pid` varchar(32) NULL, `name` varchar(50) NOT NULL, `group_id` integer NOT NULL, `region_id` integer NULL, `vtype_id` integer NOT NULL, `ip` char(39) NOT NULL, `username` varchar(50) NULL, `password` varchar(50) NULL, `gpslon` varchar(18) NULL, `gpswei` varchar(18) NULL); args=None
2016-09-05 09:10:19,862 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.036) SELECT engine FROM information_schema.tables WHERE table_name = 'website_videodevice'; args=[u'website_videodevice']
2016-09-05 09:10:19,932 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.070) ALTER TABLE `website_devicetype` ADD CONSTRAINT `website_de_brandid_id_397bae55373d12b9_fk_website_devicebrand_id` FOREIGN KEY (`brandid_id`) REFERENCES `website_devicebrand` (`id`); args=None
2016-09-05 09:10:19,999 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.067) CREATE INDEX `website_devicetype_a1f33a7f` ON `website_devicetype` (`brandid_id`); args=None
2016-09-05 09:10:20,064 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.064) ALTER TABLE `website_videodevice` ADD CONSTRAINT `website_vide_group_id_6ded39e2e0c6d464_fk_website_devicegroup_id` FOREIGN KEY (`group_id`) REFERENCES `website_devicegroup` (`id`); args=None
2016-09-05 09:10:20,131 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.067) ALTER TABLE `website_videodevice` ADD CONSTRAINT `website_vi_region_id_6b0ff3e799d4ff92_fk_website_deviceregion_id` FOREIGN KEY (`region_id`) REFERENCES `website_deviceregion` (`id`); args=None
2016-09-05 09:10:20,193 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.061) ALTER TABLE `website_videodevice` ADD CONSTRAINT `website_videod_vtype_id_6343f15a46449865_fk_website_videotype_id` FOREIGN KEY (`vtype_id`) REFERENCES `website_videotype` (`id`); args=None
2016-09-05 09:10:20,268 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.075) CREATE INDEX `website_videodevice_0e939a4f` ON `website_videodevice` (`group_id`); args=None
2016-09-05 09:10:20,336 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.067) CREATE INDEX `website_videodevice_0f442f96` ON `website_videodevice` (`region_id`); args=None
2016-09-05 09:10:20,420 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.084) CREATE INDEX `website_videodevice_8db91e8e` ON `website_videodevice` (`vtype_id`); args=None
2016-09-05 09:10:20,875 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.031) SET SQL_AUTO_IS_NULL = 0; args=None
2016-09-05 09:10:21,216 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.033) SET SQL_AUTO_IS_NULL = 0; args=None
2016-09-05 09:10:21,447 [MainThread:140619823814400] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); (params None)
2016-09-05 09:10:21,677 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.031) SET SQL_AUTO_IS_NULL = 0; args=None
2016-09-05 09:10:21,736 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.059) CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); args=None
2016-09-05 09:10:21,772 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.035) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=[u'django_content_type']
2016-09-05 09:10:21,776 [MainThread:140619823814400] [django.db.backends.schema:102] [schema:execute] [DEBUG]- ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_45f3b1d93ec8c61c_uniq` UNIQUE (`app_label`, `model`); (params [])
2016-09-05 09:10:21,848 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.071) ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_45f3b1d93ec8c61c_uniq` UNIQUE (`app_label`, `model`); args=[]
2016-09-05 09:10:21,882 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.034) SHOW FULL TABLES; args=None
2016-09-05 09:10:21,949 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.033) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('contenttypes', '0001_initial', '2016-09-05 09:10:21'); args=['contenttypes', u'0001_initial', u'2016-09-05 09:10:21']
2016-09-05 09:10:22,020 [MainThread:140619823814400] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL, UNIQUE (`content_type_id`, `codename`)); (params None)
2016-09-05 09:10:22,069 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.049) CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL, UNIQUE (`content_type_id`, `codename`)); args=None
2016-09-05 09:10:22,106 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.036) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_permission'; args=[u'auth_permission']
2016-09-05 09:10:22,112 [MainThread:140619823814400] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE `auth_group` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(80) NOT NULL UNIQUE); (params None)
2016-09-05 09:10:22,176 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.063) CREATE TABLE `auth_group` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(80) NOT NULL UNIQUE); args=None
2016-09-05 09:10:22,207 [MainThread:140619823814400] [django.db.backends:89] [utils:execute] [DEBUG]- (0.031) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_group'; args=[u'auth_group']
